Ano,ID BRA,Renda Mensal Total,Total de Empregos,Total de Estabelecimentos,Renda Mensal Média,Média de idade,Diversidade de Atividades,Diversidade Efetiva de Atividades,Diversidade de Ocupações,Diversidade Efetiva de Ocupações,Crescimento Nominal dos Salários (1 ano),Crescimento Nominal dos Salários (5 anos),Crescimento Nominal dos Empregos (1 ano),Crescimento Nominal dos Empregos (5 anos),Índice de Gini
2010,2ce010009,1693813.970,1949,186,869.070,35.600,75,20.403,152,47.376,0.097,0.194,0.009,0.055,0.314
2010,2ce010100,7816047.000,9006,580,867.870,34.899,129,25.388,257,60.706,0.124,0.164,0.071,0.057,0.339
2010,2ce010101,816335.510,1021,45,799.550,35.944,32,2.758,92,27.947,-0.026,0.204,-0.104,0.065,0.290
2010,2ce010102,2231406.680,2721,95,820.070,34.732,48,5.181,142,17.373,-0.078,0.214,-0.144,0.074,0.283
2010,2ce010103,382011.090,489,28,781.210,38.973,18,2.841,52,21.101,0.173,0.056,0.008,-0.072,0.331
2010,2ce010200,837788.530,1168,48,717.290,38.534,23,2.411,80,23.175,0.067,0.268,0.003,0.101,0.327
2010,2ce010201,707751.700,820,39,863.110,36.489,21,2.132,58,11.431,0.327,0.254,0.199,0.051,0.315
2010,2ce010202,1956296.150,2357,185,829.990,38.591,77,10.133,171,43.217,0.279,0.221,0.172,0.052,0.325
2010,2ce010300,317218.770,575,5,551.690,38.586,4,1.039,55,12.060,0.094,0.239,-0.024,0.038,0.361
2010,2ce010301,789047.140,868,36,909.040,40.260,27,1.850,72,24.217,0.161,0.208,0.041,0.022,0.308
2010,2ce010302,829555.260,988,22,839.630,36.122,17,2.413,56,11.587,0.212,0.265,0.042,0.078,0.275
2010,2ce010303,291895.360,456,9,640.120,37.689,7,1.168,44,12.908,0.121,0.326,0.115,0.137,0.404
2010,2ce020000,10620581.540,11759,500,903.190,33.718,155,26.398,295,80.467,0.049,0.191,-0.072,0.089,0.352
2010,2ce020001,26946142.110,28156,1627,957.030,35.018,255,41.777,367,82.403,0.166,0.161,0.107,0.059,0.347
2010,2ce020002,33666421.310,34212,828,984.050,33.990,254,39.064,372,76.189,0.195,0.180,0.092,0.068,0.350
2010,2ce020003,1018492869.670,725525,38863,1403.800,36.812,549,93.759,565,70.478,0.188,0.167,0.096,0.080,0.502
2010,2ce020004,2227437.780,2857,68,779.640,36.056,38,5.909,126,29.042,0.446,0.311,0.283,0.164,0.211
2010,2ce020005,2624892.830,3119,159,841.580,34.644,71,17.434,173,49.032,0.198,0.180,0.108,0.091,0.287
2010,2ce020006,49780729.280,49169,1770,1012.440,34.030,291,65.153,411,88.995,0.185,0.182,0.087,0.099,0.372
2010,2ce020007,11164398.680,14305,475,780.450,34.536,129,14.694,239,38.336,0.184,0.163,0.071,0.060,0.290
2010,2ce020008,5356545.800,6515,225,822.190,34.145,89,11.437,213,44.345,0.024,0.162,-0.027,0.051,0.296
2010,2ce020100,16095951.520,21240,298,757.810,29.873,124,5.907,276,22.101,0.253,0.187,0.168,0.103,0.245
2010,2ce020101,7095929.420,8312,302,853.700,34.714,112,18.862,238,69.029,0.055,0.210,0.041,0.095,0.307
2010,2ce030000,748487.340,849,45,881.610,36.816,20,2.114,41,10.865,-0.305,0.128,-0.451,-0.032,0.347
2010,2ce030001,939857.390,1341,61,700.860,33.197,31,3.498,87,22.052,0.456,0.354,0.355,0.133,0.289
2010,2ce030002,404353.710,595,6,679.590,36.839,5,1.113,52,15.423,0.520,0.266,0.154,0.056,0.369
2010,2ce030003,769124.290,1076,20,714.800,35.631,15,1.313,54,14.230,0.318,0.438,0.102,0.219,0.470
2010,2ce030100,627470.370,802,30,782.380,36.778,21,1.660,67,20.475,0.158,0.251,0.040,0.086,0.323
2010,2ce030101,642841.640,811,17,792.650,35.298,9,1.252,50,16.296,-0.074,0.302,-0.012,0.166,0.334
