"Tabela 202 - População residente, por sexo e situação do domicílio"
"Variável - População residente (Pessoas)"
"Nível";"Cód.";"Município";"Situação do domicílio";"Ano x Sexo"
"Nível";"Cód.";"Município";"Situação do domicílio";"1970"
"Nível";"Cód.";"Município";"Situação do domicílio";"Total";"Homens";"Mulheres"
"MU";"1101468";"Pimenteiras do Oeste (RO)";"Rural";"...";"...";"..."
"MU";"1101476";"Primavera de Rondônia (RO)";"Total";"...";"...";"..."
"MU";"1101476";"Primavera de Rondônia (RO)";"Urbana";"...";"...";"..."
"MU";"1101476";"Primavera de Rondônia (RO)";"Rural";"...";"...";"..."
"MU";"1101484";"São Felipe D'Oeste (RO)";"Total";"...";"...";"..."
"MU";"1101484";"São Felipe D'Oeste (RO)";"Urbana";"...";"...";"..."
"MU";"1101484";"São Felipe D'Oeste (RO)";"Rural";"...";"...";"..."
"MU";"1101492";"São Francisco do Guaporé (RO)";"Total";"...";"...";"..."
"MU";"1101492";"São Francisco do Guaporé (RO)";"Urbana";"...";"...";"..."
"MU";"1101492";"São Francisco do Guaporé (RO)";"Rural";"...";"...";"..."
"MU";"1101500";"Seringueiras (RO)";"Total";"...";"...";"..."
"MU";"1101500";"Seringueiras (RO)";"Urbana";"...";"...";"..."
"MU";"1101500";"Seringueiras (RO)";"Rural";"...";"...";"..."
"MU";"1101559";"Teixeirópolis (RO)";"Total";"...";"...";"..."
"MU";"1101559";"Teixeirópolis (RO)";"Urbana";"...";"...";"..."
"MU";"1101559";"Teixeirópolis (RO)";"Rural";"...";"...";"..."
"MU";"1101609";"Theobroma (RO)";"Total";"...";"...";"..."
"MU";"1101609";"Theobroma (RO)";"Urbana";"...";"...";"..."
"MU";"1101609";"Theobroma (RO)";"Rural";"...";"...";"..."
"MU";"1101708";"Urupá (RO)";"Total";"...";"...";"..."
"MU";"1101708";"Urupá (RO)";"Urbana";"...";"...";"..."
"MU";"1101708";"Urupá (RO)";"Rural";"...";"...";"..."
"MU";"1101757";"Vale do Anari (RO)";"Total";"...";"...";"..."
"MU";"1101757";"Vale do Anari (RO)";"Urbana";"...";"...";"..."
"MU";"1101757";"Vale do Anari (RO)";"Rural";"...";"...";"..."
"MU";"1101807";"Vale do Paraíso (RO)";"Total";"...";"...";"..."
"MU";"1101807";"Vale do Paraíso (RO)";"Urbana";"...";"...";"..."
"MU";"1101807";"Vale do Paraíso (RO)";"Rural";"...";"...";"..."
"MU";"1200013";"Acrelândia (AC)";"Total";"...";"...";"..."
"MU";"1200013";"Acrelândia (AC)";"Urbana";"...";"...";"..."
"MU";"1200013";"Acrelândia (AC)";"Rural";"...";"...";"..."
"MU";"1200054";"Assis Brasil (AC)";"Total";"...";"...";"..."
"MU";"1200054";"Assis Brasil (AC)";"Urbana";"...";"...";"..."
"MU";"1200054";"Assis Brasil (AC)";"Rural";"...";"...";"..."
"MU";"1200104";"Brasiléia (AC)";"Total";"12311";"6393";"5918"
"MU";"1200104";"Brasiléia (AC)";"Urbana";"2664";"1288";"1376"
