Código;UF;Município;Ranking Estadual 2013;Ranking IFGF Autonomia 2013;IFGF Autonomia 2013;Ranking Estadual 2014;Ranking IFGF Autonomia 2014;IFGF Autonomia 2014;Ranking Estadual 2015;Ranking IFGF Autonomia 2015;IFGF Autonomia 2015;Ranking Estadual 2016;Ranking IFGF Autonomia 2016;IFGF Autonomia 2016;Ranking Estadual 2017;Ranking IFGF Autonomia 2017;IFGF Autonomia 2017;Ranking Estadual 2018;Ranking IFGF Autonomia 2018;IFGF Autonomia 2018
250350;PB;Cacimba de Dentro;nd;nd;nd;30º;3.311º;0,0000;34º;3.416º;0,0000;nd;nd;nd;33º;3.512º;0,0000;42º;3.482º;0,0000
250355;PB;Cacimbas;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250360;PB;Caiçara;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250370;PB;Cajazeiras;24º;3.303º;0,0000;9º;2.174º;0,3816;8º;2.052º;0,4502;9º;2.009º;0,4451;5º;1.925º;0,5411;5º;2.019º;0,4949
250375;PB;Cajazeirinhas;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250380;PB;Caldas Brandão;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250390;PB;Camalaú;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250400;PB;Campina Grande;5º;1.472º;0,6837;8º;2.120º;0,4039;5º;1.528º;0,6650;6º;1.805º;0,5261;3º;1.422º;0,7414;3º;1.463º;0,7189
250403;PB;Capim;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250407;PB;Caraúbas;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250410;PB;Carrapateira;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250415;PB;Casserengue;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250420;PB;Catingueira;nd;nd;nd;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;27º;3.179º;0,0875
250430;PB;Catolé do Rocha;nd;nd;nd;19º;2.788º;0,1637;17º;2.895º;0,1600;32º;3.300º;0,0324;21º;3.034º;0,1350;17º;2.856º;0,1936
250435;PB;Caturité;24º;3.303º;0,0000;23º;3.106º;0,0659;26º;3.268º;0,0389;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250440;PB;Conceição;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250450;PB;Condado;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250460;PB;Conde;4º;1.348º;0,7419;5º;2.006º;0,4453;4º;1.460º;0,6946;7º;1.842º;0,5128;8º;2.425º;0,3575;4º;1.869º;0,5482
250470;PB;Congo;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250480;PB;Coremas;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;22º;2.999º;0,1439
250485;PB;Coxixola;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250490;PB;Cruz do Espírito Santo;24º;3.303º;0,0000;30º;3.311º;0,0000;nd;nd;nd;nd;nd;nd;33º;3.512º;0,0000;42º;3.482º;0,0000
250500;PB;Cubati;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;nd;nd;nd
250510;PB;Cuité;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250520;PB;Cuitegi;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250523;PB;Cuité de Mamanguape;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250527;PB;Curral de Cima;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250530;PB;Curral Velho;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250535;PB;Damião;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250540;PB;Desterro;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;41º;3.405º;0,0078;33º;3.512º;0,0000;14º;2.734º;0,2327
250550;PB;Vista Serrana;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250560;PB;Diamante;24º;3.303º;0,0000;nd;nd;nd;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250570;PB;Dona Inês;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250580;PB;Duas Estradas;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250590;PB;Emas;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250600;PB;Esperança;14º;2.746º;0,1766;14º;2.523º;0,2560;14º;2.494º;0,2901;14º;2.549º;0,2540;17º;2.911º;0,1742;13º;2.725º;0,2370
250610;PB;Fagundes;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250620;PB;Frei Martinho;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250625;PB;Gado Bravo;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250630;PB;Guarabira;10º;2.151º;0,4070;7º;2.083º;0,4124;10º;2.128º;0,4194;10º;2.056º;0,4256;6º;2.030º;0,5010;7º;2.079º;0,4672
250640;PB;Gurinhém;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250650;PB;Gurjão;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250660;PB;Ibiara;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250670;PB;Imaculada;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250680;PB;Ingá;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250690;PB;Itabaiana;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;nd;nd;nd;33º;3.512º;0,0000;42º;3.482º;0,0000
250700;PB;Itaporanga;24º;3.303º;0,0000;30º;3.311º;0,0000;29º;3.359º;0,0159;38º;3.397º;0,0096;28º;3.351º;0,0419;26º;3.143º;0,0998
250710;PB;Itapororoca;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250720;PB;Itatuba;9º;2.125º;0,4191;12º;2.420º;0,2959;25º;3.256º;0,0423;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250730;PB;Jacaraú;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250740;PB;Jericó;18º;3.072º;0,0696;30º;3.311º;0,0000;34º;3.416º;0,0000;35º;3.341º;0,0239;33º;3.512º;0,0000;42º;3.482º;0,0000
250750;PB;João Pessoa;1º;1º;1,0000;1º;1º;1,0000;2º;845º;0,9929;2º;861º;0,9278;1º;1º;1,0000;1º;1º;1,0000
250760;PB;Juarez Távora;nd;nd;nd;30º;3.311º;0,0000;33º;3.412º;0,0003;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250770;PB;Juazeirinho;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;nd;nd;nd
250780;PB;Junco do Seridó;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250790;PB;Juripiranga;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250800;PB;Juru;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250810;PB;Lagoa;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250820;PB;Lagoa de Dentro;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250830;PB;Lagoa Seca;24º;3.303º;0,0000;29º;3.276º;0,0094;30º;3.363º;0,0149;26º;3.184º;0,0636;25º;3.288º;0,0576;29º;3.220º;0,0755
250840;PB;Lastro;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250850;PB;Livramento;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250855;PB;Logradouro;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250860;PB;Lucena;24º;3.303º;0,0000;15º;2.694º;0,1950;9º;2.080º;0,4366;11º;2.120º;0,3992;13º;2.615º;0,2794;15º;2.759º;0,2232
250870;PB;Mãe d'Água;24º;3.303º;0,0000;nd;nd;nd;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250880;PB;Malta;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250890;PB;Mamanguape;22º;3.249º;0,0167;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;38º;3.441º;0,0100
250900;PB;Manaíra;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250905;PB;Marcação;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250910;PB;Mari;24º;3.303º;0,0000;nd;nd;nd;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250915;PB;Marizópolis;24º;3.303º;0,0000;30º;3.311º;0,0000;24º;3.249º;0,0460;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250920;PB;Massaranduba;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250930;PB;Mataraca;24º;3.303º;0,0000;30º;3.311º;0,0000;22º;3.092º;0,0930;16º;2.644º;0,2260;15º;2.805º;0,2116;35º;3.339º;0,0395
250933;PB;Matinhas;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250937;PB;Mato Grosso;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250939;PB;Maturéia;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250940;PB;Mogeiro;13º;2.642º;0,2164;11º;2.358º;0,3208;34º;3.416º;0,0000;23º;3.046º;0,1011;33º;3.512º;0,0000;42º;3.482º;0,0000
250950;PB;Montadas;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;31º;3.426º;0,0216;31º;3.303º;0,0467
250960;PB;Monte Horebe;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
250970;PB;Monteiro;21º;3.193º;0,0336;20º;2.827º;0,1521;11º;2.175º;0,4035;5º;1.714º;0,5699;11º;2.561º;0,3040;18º;2.859º;0,1917
250980;PB;Mulungu;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;nd;nd;nd;33º;3.512º;0,0000;nd;nd;nd
250990;PB;Natuba;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251000;PB;Nazarezinho;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251010;PB;Nova Floresta;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251020;PB;Nova Olinda;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251030;PB;Nova Palmeira;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251040;PB;Olho d'Água;24º;3.303º;0,0000;nd;nd;nd;nd;nd;nd;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251050;PB;Olivedos;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;nd;nd;nd
251060;PB;Ouro Velho;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251065;PB;Parari;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251070;PB;Passagem;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251080;PB;Patos;12º;2.596º;0,2344;10º;2.252º;0,3573;7º;2.041º;0,4550;8º;1.875º;0,5013;10º;2.515º;0,3228;11º;2.390º;0,3517
251090;PB;Paulista;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251100;PB;Pedra Branca;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251110;PB;Pedra Lavrada;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;24º;3.059º;0,0969;32º;3.459º;0,0130;33º;3.328º;0,0415
251120;PB;Pedras de Fogo;16º;2.999º;0,0946;30º;3.311º;0,0000;20º;3.020º;0,1185;22º;2.939º;0,1314;33º;3.512º;0,0000;25º;3.124º;0,1047
251130;PB;Piancó;24º;3.303º;0,0000;27º;3.205º;0,0336;27º;3.275º;0,0361;28º;3.245º;0,0472;29º;3.364º;0,0387;40º;3.450º;0,0076
251140;PB;Picuí;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;33º;3.328º;0,0265;33º;3.512º;0,0000;42º;3.482º;0,0000
251150;PB;Pilar;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251160;PB;Pilões;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251170;PB;Pilõezinhos;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;nd;nd;nd
251180;PB;Pirpirituba;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251190;PB;Pitimbu;24º;3.303º;0,0000;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
251200;PB;Pocinhos;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;39º;3.443º;0,0091
251203;PB;Poço Dantas;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251207;PB;Poço de José de Moura;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;nd;nd;nd
251210;PB;Pombal;23º;3.286º;0,0066;28º;3.219º;0,0294;32º;3.374º;0,0122;19º;2.827º;0,1655;18º;2.943º;0,1623;19º;2.944º;0,1594
251220;PB;Prata;24º;3.303º;0,0000;30º;3.311º;0,0000;nd;nd;nd;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251230;PB;Princesa Isabel;nd;nd;nd;30º;3.311º;0,0000;34º;3.416º;0,0000;30º;3.288º;0,0352;22º;3.085º;0,1180;21º;2.994º;0,1453
251240;PB;Puxinanã;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251250;PB;Queimadas;24º;3.303º;0,0000;21º;2.966º;0,1059;15º;2.844º;0,1740;31º;3.289º;0,0349;19º;2.961º;0,1566;10º;2.385º;0,3534
251260;PB;Quixaba;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251270;PB;Remígio;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;29º;3.270º;0,0399;33º;3.512º;0,0000;42º;3.482º;0,0000
251272;PB;Pedro Régis;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251274;PB;Riachão;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251275;PB;Riachão do Bacamarte;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251276;PB;Riachão do Poço;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251278;PB;Riacho de Santo Antônio;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251280;PB;Riacho dos Cavalos;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251290;PB;Rio Tinto;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251300;PB;Salgadinho;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251310;PB;Salgado de São Félix;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251315;PB;Santa Cecília;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251320;PB;Santa Cruz;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251330;PB;Santa Helena;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;nd;nd;nd;nd;nd;nd;42º;3.482º;0,0000
251335;PB;Santa Inês;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251340;PB;Santa Luzia;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;18º;2.821º;0,1683;23º;3.097º;0,1139;42º;3.482º;0,0000
251350;PB;Santana de Mangueira;24º;3.303º;0,0000;nd;nd;nd;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251360;PB;Santana dos Garrotes;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251365;PB;Joca Claudino;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251370;PB;Santa Rita;7º;1.821º;0,5368;4º;1.894º;0,4884;6º;1.633º;0,6241;4º;1.682º;0,5802;7º;2.173º;0,4455;6º;2.049º;0,4812
251380;PB;Santa Teresinha;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251385;PB;Santo André;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251390;PB;São Bento;11º;2.455º;0,2892;18º;2.787º;0,1648;19º;2.983º;0,1331;15º;2.555º;0,2517;26º;3.315º;0,0519;28º;3.216º;0,0762
251392;PB;São Bentinho;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251394;PB;São Domingos do Cariri;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251396;PB;São Domingos;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251398;PB;São Francisco;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251400;PB;São João do Cariri;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251410;PB;São João do Tigre;24º;3.303º;0,0000;nd;nd;nd;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251420;PB;São José da Lagoa Tapada;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251430;PB;São José de Caiana;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251440;PB;São José de Espinharas;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251445;PB;São José dos Ramos;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251450;PB;São José de Piranhas;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251455;PB;São José de Princesa;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;nd;nd;nd;42º;3.482º;0,0000
251460;PB;São José do Bonfim;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251465;PB;São José do Brejo do Cruz;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251470;PB;São José do Sabugi;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;9º;2.505º;0,3259;42º;3.482º;0,0000
251480;PB;São José dos Cordeiros;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251490;PB;São Mamede;24º;3.303º;0,0000;30º;3.311º;0,0000;34º;3.416º;0,0000;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
251500;PB;São Miguel de Taipu;nd;nd;nd;nd;nd;nd;nd;nd;nd;43º;3.432º;0,0000;33º;3.512º;0,0000;42º;3.482º;0,0000
