Código;UF;Município;Ranking Estadual 2013;Ranking IFGF Autonomia 2013;IFGF Autonomia 2013;Ranking Estadual 2014;Ranking IFGF Autonomia 2014;IFGF Autonomia 2014;Ranking Estadual 2015;Ranking IFGF Autonomia 2015;IFGF Autonomia 2015;Ranking Estadual 2016;Ranking IFGF Autonomia 2016;IFGF Autonomia 2016;Ranking Estadual 2017;Ranking IFGF Autonomia 2017;IFGF Autonomia 2017;Ranking Estadual 2018;Ranking IFGF Autonomia 2018;IFGF Autonomia 2018
330115;RJ;Cardoso Moreira;43º;1.352º;0,7403;69º;2.381º;0,3123;81º;2.652º;0,2356;84º;3.088º;0,0880;78º;2.686º;0,2552;43º;1.883º;0,5424
330120;RJ;Carmo;51º;1.523º;0,6633;53º;1.860º;0,5011;47º;1.491º;0,6800;54º;1.863º;0,5066;58º;2.113º;0,4673;nd;nd;nd
330130;RJ;Casimiro de Abreu;60º;1.921º;0,4987;72º;2.412º;0,2985;70º;2.234º;0,3831;55º;1.892º;0,4947;53º;1.907º;0,5490;56º;2.159º;0,4397
330140;RJ;Conceição de Macabu;72º;2.218º;0,3841;51º;1.837º;0,5095;42º;1.403º;0,7237;42º;1.370º;0,6950;36º;1.432º;0,7384;27º;1.256º;0,8141
330150;RJ;Cordeiro;36º;1.237º;0,7961;34º;1.361º;0,7159;34º;1.128º;0,8439;41º;1.350º;0,7004;44º;1.644º;0,6456;32º;1.493º;0,7097
330160;RJ;Duas Barras;nd;nd;nd;1º;1º;1,0000;1º;1º;1,0000;24º;968º;0,8760;25º;1.107º;0,8949;nd;nd;nd
330170;RJ;Duque de Caxias;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
330180;RJ;Engenheiro Paulo de Frontin;86º;3.303º;0,0000;66º;2.261º;0,3529;84º;2.904º;0,1572;80º;2.933º;0,1329;81º;2.970º;0,1547;71º;3.093º;0,1155
330185;RJ;Guapimirim;86º;3.303º;0,0000;83º;3.311º;0,0000;87º;3.416º;0,0000;nd;nd;nd;79º;2.894º;0,1789;72º;3.103º;0,1120
330187;RJ;Iguaba Grande;48º;1.433º;0,7014;67º;2.271º;0,3489;61º;1.965º;0,4892;71º;2.371º;0,3120;67º;2.268º;0,4096;53º;2.054º;0,4798
330190;RJ;Itaboraí;1º;1º;1,0000;1º;1º;1,0000;31º;1.085º;0,8652;72º;2.434º;0,2903;76º;2.562º;0,3020;66º;2.522º;0,3065
330200;RJ;Itaguaí;1º;1º;1,0000;1º;1º;1,0000;43º;1.422º;0,7133;34º;1.187º;0,7701;1º;1º;1,0000;1º;1º;1,0000
330205;RJ;Italva;29º;1.033º;0,9121;31º;1.321º;0,7390;35º;1.186º;0,8178;38º;1.263º;0,7379;30º;1.266º;0,8170;31º;1.480º;0,7133
330210;RJ;Itaocara;1º;1º;1,0000;1º;1º;1,0000;26º;1.003º;0,9075;25º;988º;0,8650;23º;1.069º;0,9141;26º;1.212º;0,8371
330220;RJ;Itaperuna;47º;1.413º;0,7080;44º;1.648º;0,5829;45º;1.483º;0,6829;45º;1.454º;0,6584;38º;1.470º;0,7204;52º;2.047º;0,4818
