Código;UF;Município;Ranking Estadual 2013;Ranking IFGF Investimentos 2013;IFGF Investimentos 2013;Ranking Estadual 2014;Ranking IFGF Investimentos 2014;IFGF Investimentos 2014;Ranking Estadual 2015;Ranking IFGF Investimentos 2015;IFGF Investimentos 2015;Ranking Estadual 2016;Ranking IFGF Investimentos 2016;IFGF Investimentos 2016;Ranking Estadual 2017;Ranking IFGF Investimentos 2017;IFGF Investimentos 2017;Ranking Estadual 2018;Ranking IFGF Investimentos 2018;IFGF Investimentos 2018
312190;MG;Divinésia;nd;nd;nd;1º;1º;1,0000;75º;633º;0,8922;72º;615º;0,9423;91º;715º;0,6470;180º;1.612º;0,5866
312200;MG;Divino;415º;3.066º;0,4153;464º;2.813º;0,5857;729º;4.709º;0,1795;245º;1.665º;0,6020;354º;2.556º;0,3161;626º;4.332º;0,2305
312210;MG;Divino das Laranjeiras;91º;731º;0,9233;nd;nd;nd;103º;873º;0,7943;605º;3.657º;0,3007;211º;1.578º;0,4489;232º;2.028º;0,5141
312220;MG;Divinolândia de Minas;332º;2.433º;0,5119;190º;1.341º;0,8956;264º;1.883º;0,5576;179º;1.305º;0,6830;210º;1.562º;0,4516;93º;928º;0,7535
312230;MG;Divinópolis;255º;1.981º;0,5972;452º;2.741º;0,5982;515º;3.500º;0,3319;608º;3.674º;0,2989;426º;2.944º;0,2759;807º;5.206º;0,0884
312235;MG;Divisa Alegre;803º;5.197º;0,0781;363º;2.278º;0,6815;761º;4.920º;0,1450;504º;3.150º;0,3658;262º;1.905º;0,3983;744º;4.907º;0,1516
312240;MG;Divisa Nova;614º;4.198º;0,2598;1º;1º;1,0000;348º;2.437º;0,4713;155º;1.138º;0,7327;485º;3.285º;0,2417;297º;2.528º;0,4382
312245;MG;Divisópolis;125º;1.026º;0,8195;1º;1º;1,0000;78º;651º;0,8860;161º;1.174º;0,7212;815º;5.175º;0,0657;783º;5.096º;0,1155
312247;MG;Dom Bosco;456º;3.274º;0,3884;695º;4.361º;0,3319;218º;1.659º;0,5929;110º;855º;0,8327;688º;4.437º;0,1429;514º;3.726º;0,3001
312250;MG;Dom Cavati;772º;5.075º;0,1112;598º;3.600º;0,4555;812º;5.202º;0,0857;467º;2.923º;0,3956;214º;1.625º;0,4405;108º;1.023º;0,7223
312260;MG;Dom Joaquim;657º;4.481º;0,2188;1º;1º;1,0000;392º;2.708º;0,4324;390º;2.554º;0,4475;600º;3.959º;0,1831;266º;2.311º;0,4709
312270;MG;Dom Silvério;321º;2.354º;0,5262;457º;2.781º;0,5923;196º;1.528º;0,6165;429º;2.745º;0,4212;350º;2.535º;0,3181;295º;2.519º;0,4397
312280;MG;Dom Viçoso;89º;724º;0,9276;200º;1.365º;0,8909;221º;1.675º;0,5890;384º;2.518º;0,4526;502º;3.361º;0,2338;312º;2.636º;0,4243
312290;MG;Dona Eusébia;101º;803º;0,8993;nd;nd;nd;nd;nd;nd;1º;1º;1,0000;401º;2.824º;0,2864;298º;2.531º;0,4380
312300;MG;Dores de Campos;396º;2.927º;0,4356;632º;3.883º;0,4110;210º;1.600º;0,6031;435º;2.769º;0,4183;701º;4.548º;0,1331;342º;2.844º;0,3978
312310;MG;Dores de Guanhães;117º;973º;0,8330;332º;2.087º;0,7264;197º;1.532º;0,6159;126º;943º;0,7953;220º;1.665º;0,4345;650º;4.456º;0,2174
312320;MG;Dores do Indaiá;530º;3.746º;0,3221;634º;3.891º;0,4104;690º;4.471º;0,2111;606º;3.667º;0,2996;565º;3.699º;0,2039;713º;4.766º;0,1734
312330;MG;Dores do Turvo;nd;nd;nd;471º;2.835º;0,5830;374º;2.641º;0,4424;112º;870º;0,8249;89º;698º;0,6543;nd;nd;nd
312340;MG;Doresópolis;479º;3.362º;0,3766;1º;1º;1,0000;109º;929º;0,7710;812º;5.010º;0,0891;747º;4.830º;0,1070;374º;2.969º;0,3831
312350;MG;Douradoquara;741º;4.931º;0,1442;316º;2.016º;0,7412;377º;2.651º;0,4408;380º;2.496º;0,4553;799º;5.089º;0,0771;816º;5.244º;0,0771
312352;MG;Durandé;359º;2.684º;0,4712;749º;4.681º;0,2706;1º;1º;1,0000;499º;3.116º;0,3697;286º;2.143º;0,3670;194º;1.690º;0,5717
312360;MG;Elói Mendes;399º;2.943º;0,4329;226º;1.509º;0,8517;454º;3.120º;0,3788;315º;2.127º;0,5130;255º;1.853º;0,4051;346º;2.861º;0,3959
312370;MG;Engenheiro Caldas;65º;571º;0,9961;1º;1º;1,0000;146º;1.201º;0,6929;250º;1.722º;0,5893;87º;671º;0,6648;249º;2.172º;0,4905
312380;MG;Engenheiro Navarro;740º;4.925º;0,1451;689º;4.318º;0,3396;389º;2.697º;0,4339;541º;3.342º;0,3415;441º;3.017º;0,2680;127º;1.240º;0,6657
312385;MG;Entre Folhas;566º;3.913º;0,3023;148º;1.071º;0,9782;328º;2.315º;0,4883;117º;900º;0,8109;nd;nd;nd;421º;3.256º;0,3501
312390;MG;Entre Rios de Minas;463º;3.299º;0,3842;1º;1º;1,0000;189º;1.511º;0,6195;821º;5.078º;0,0717;325º;2.404º;0,3328;196º;1.719º;0,5666
312400;MG;Ervália;547º;3.832º;0,3133;172º;1.247º;0,9208;159º;1.301º;0,6677;96º;733º;0,8879;66º;499º;0,7388;361º;2.927º;0,3890
312410;MG;Esmeraldas;760º;5.027º;0,1220;745º;4.657º;0,2750;642º;4.239º;0,2423;159º;1.163º;0,7260;827º;5.314º;0,0393;827º;5.307º;0,0498
312420;MG;Espera Feliz;610º;4.181º;0,2621;506º;3.073º;0,5444;423º;2.921º;0,4051;767º;4.691º;0,1528;125º;943º;0,5816;313º;2.641º;0,4236
312430;MG;Espinosa;767º;5.062º;0,1146;712º;4.485º;0,3077;235º;1.722º;0,5819;324º;2.194º;0,5020;434º;2.978º;0,2726;77º;809º;0,7957
312440;MG;Espírito Santo do Dourado;520º;3.693º;0,3293;1º;1º;1,0000;496º;3.400º;0,3445;509º;3.188º;0,3616;666º;4.355º;0,1504;189º;1.661º;0,5775
312450;MG;Estiva;621º;4.223º;0,2564;615º;3.723º;0,4354;546º;3.742º;0,3029;465º;2.911º;0,3971;779º;4.977º;0,0897;676º;4.579º;0,2009
312460;MG;Estrela Dalva;372º;2.769º;0,4589;731º;4.597º;0,2882;810º;5.194º;0,0888;838º;5.187º;0,0389;287º;2.153º;0,3660;787º;5.122º;0,1095
312470;MG;Estrela do Indaiá;820º;5.286º;0,0066;757º;4.725º;0,2597;831º;5.296º;0,0435;841º;5.199º;0,0345;368º;2.630º;0,3077;767º;5.016º;0,1357
312480;MG;Estrela do Sul;nd;nd;nd;nd;nd;nd;836º;5.330º;0,0194;837º;5.183º;0,0399;807º;5.132º;0,0703;681º;4.608º;0,1976
312490;MG;Eugenópolis;549º;3.839º;0,3119;374º;2.337º;0,6714;506º;3.439º;0,3395;444º;2.804º;0,4116;166º;1.340º;0,4928;402º;3.171º;0,3614
312500;MG;Ewbank da Câmara;593º;4.106º;0,2737;687º;4.302º;0,3433;111º;940º;0,7665;165º;1.203º;0,7084;456º;3.114º;0,2589;294º;2.509º;0,4413
312510;MG;Extrema;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
312520;MG;Fama;599º;4.123º;0,2701;736º;4.612º;0,2836;542º;3.721º;0,3060;423º;2.725º;0,4241;765º;4.922º;0,0969;774º;5.051º;0,1282
312530;MG;Faria Lemos;461º;3.292º;0,3855;538º;3.267º;0,5127;687º;4.457º;0,2130;757º;4.617º;0,1663;821º;5.229º;0,0554;479º;3.542º;0,3201
312540;MG;Felício dos Santos;174º;1.424º;0,7052;1º;1º;1,0000;91º;758º;0,8414;227º;1.579º;0,6203;174º;1.406º;0,4804;136º;1.328º;0,6498
312550;MG;São Gonçalo do Rio Preto;817º;5.267º;0,0402;524º;3.188º;0,5268;535º;3.648º;0,3141;388º;2.525º;0,4517;741º;4.794º;0,1107;125º;1.229º;0,6682
312560;MG;Felisburgo;754º;4.992º;0,1319;469º;2.826º;0,5839;62º;535º;0,9429;732º;4.444º;0,1899;471º;3.222º;0,2480;534º;3.813º;0,2913
312570;MG;Felixlândia;729º;4.859º;0,1577;801º;5.093º;0,1596;816º;5.212º;0,0822;840º;5.194º;0,0375;832º;5.327º;0,0373;729º;4.816º;0,1657
312580;MG;Fernandes Tourinho;1º;1º;1,0000;393º;2.446º;0,6526;353º;2.471º;0,4663;502º;3.137º;0,3673;60º;479º;0,7510;475º;3.536º;0,3212
312590;MG;Ferros;1º;1º;1,0000;765º;4.785º;0,2474;666º;4.346º;0,2277;597º;3.611º;0,3066;1º;1º;1,0000;1º;1º;1,0000
312595;MG;Fervedouro;75º;628º;0,9665;158º;1.157º;0,9503;279º;1.984º;0,5390;407º;2.643º;0,4340;379º;2.673º;0,3028;434º;3.300º;0,3446
312600;MG;Florestal;263º;2.043º;0,5845;562º;3.407º;0,4884;335º;2.376º;0,4807;670º;4.048º;0,2488;783º;4.982º;0,0895;368º;2.942º;0,3868
312610;MG;Formiga;490º;3.458º;0,3649;536º;3.263º;0,5137;150º;1.238º;0,6823;599º;3.616º;0,3056;566º;3.700º;0,2038;522º;3.758º;0,2971
312620;MG;Formoso;477º;3.355º;0,3773;637º;3.911º;0,4076;178º;1.418º;0,6401;1º;1º;1,0000;572º;3.731º;0,2011;596º;4.199º;0,2453
312630;MG;Fortaleza de Minas;779º;5.098º;0,1071;767º;4.796º;0,2433;827º;5.272º;0,0563;825º;5.096º;0,0678;762º;4.911º;0,0979;614º;4.270º;0,2375
312640;MG;Fortuna de Minas;616º;4.210º;0,2585;579º;3.506º;0,4713;792º;5.095º;0,1085;458º;2.861º;0,4026;191º;1.476º;0,4678;411º;3.221º;0,3546
312650;MG;Francisco Badaró;631º;4.299º;0,2463;1º;1º;1,0000;232º;1.714º;0,5829;395º;2.581º;0,4436;253º;1.838º;0,4076;394º;3.134º;0,3653
312660;MG;Francisco Dumont;330º;2.422º;0,5134;1º;1º;1,0000;1º;1º;1,0000;256º;1.753º;0,5830;599º;3.943º;0,1843;153º;1.439º;0,6253
312670;MG;Francisco Sá;264º;2.047º;0,5837;357º;2.257º;0,6858;240º;1.743º;0,5783;469º;2.929º;0,3951;725º;4.691º;0,1211;474º;3.530º;0,3218
312675;MG;Franciscópolis;206º;1.647º;0,6604;614º;3.720º;0,4365;434º;2.979º;0,3978;279º;1.909º;0,5528;53º;424º;0,7775;646º;4.429º;0,2219
312680;MG;Frei Gaspar;750º;4.974º;0,1357;748º;4.677º;0,2712;482º;3.324º;0,3542;79º;647º;0,9299;503º;3.362º;0,2337;634º;4.377º;0,2270
312690;MG;Frei Inocêncio;1º;1º;1,0000;273º;1.776º;0,7944;650º;4.278º;0,2370;793º;4.835º;0,1284;638º;4.183º;0,1643;191º;1.665º;0,5768
312695;MG;Frei Lagonegro;243º;1.884º;0,6184;631º;3.877º;0,4115;417º;2.872º;0,4116;727º;4.416º;0,1935;360º;2.580º;0,3127;823º;5.276º;0,0679
312700;MG;Fronteira;196º;1.585º;0,6723;670º;4.177º;0,3664;461º;3.194º;0,3715;452º;2.835º;0,4064;374º;2.654º;0,3043;510º;3.713º;0,3018
312705;MG;Fronteira dos Vales;788º;5.117º;0,1027;784º;4.949º;0,2014;694º;4.498º;0,2074;294º;1.993º;0,5371;353º;2.538º;0,3176;199º;1.738º;0,5635
312707;MG;Fruta de Leite;346º;2.525º;0,4969;532º;3.243º;0,5179;408º;2.825º;0,4173;560º;3.403º;0,3334;239º;1.780º;0,4166;599º;4.215º;0,2437
312710;MG;Frutal;308º;2.270º;0,5420;181º;1.295º;0,9083;177º;1.410º;0,6415;389º;2.536º;0,4501;558º;3.635º;0,2098;698º;4.693º;0,1851
312720;MG;Funilândia;381º;2.824º;0,4500;1º;1º;1,0000;1º;1º;1,0000;95º;732º;0,8880;361º;2.581º;0,3127;150º;1.414º;0,6307
312730;MG;Galiléia;558º;3.876º;0,3067;nd;nd;nd;372º;2.628º;0,4434;824º;5.094º;0,0682;531º;3.481º;0,2231;573º;4.076º;0,2599
312733;MG;Gameleiras;333º;2.436º;0,5115;283º;1.836º;0,7811;440º;3.029º;0,3901;489º;3.031º;0,3816;516º;3.411º;0,2295;193º;1.687º;0,5726
312735;MG;Glaucilândia;363º;2.699º;0,4683;1º;1º;1,0000;225º;1.686º;0,5879;381º;2.500º;0,4545;304º;2.264º;0,3499;443º;3.355º;0,3391
312737;MG;Goiabeira;1º;1º;1,0000;1º;1º;1,0000;191º;1.516º;0,6190;408º;2.645º;0,4339;32º;252º;0,9046;404º;3.186º;0,3591
312738;MG;Goianá;751º;4.975º;0,1354;144º;1.047º;0,9835;771º;4.990º;0,1322;711º;4.295º;0,2124;812º;5.149º;0,0687;700º;4.696º;0,1848
312740;MG;Gonçalves;252º;1.949º;0,6027;534º;3.250º;0,5164;680º;4.406º;0,2187;567º;3.449º;0,3276;595º;3.935º;0,1849;56º;619º;0,8796
312750;MG;Gonzaga;93º;743º;0,9197;400º;2.485º;0,6444;245º;1.764º;0,5750;368º;2.432º;0,4639;134º;1.031º;0,5573;391º;3.111º;0,3676
312760;MG;Gouveia;301º;2.220º;0,5527;361º;2.269º;0,6829;244º;1.762º;0,5751;797º;4.865º;0,1225;787º;5.019º;0,0848;345º;2.860º;0,3960
312770;MG;Governador Valadares;636º;4.334º;0,2413;278º;1.811º;0,7890;517º;3.513º;0,3307;736º;4.467º;0,1868;811º;5.146º;0,0690;788º;5.128º;0,1081
312780;MG;Grão Mogol;265º;2.049º;0,5831;328º;2.062º;0,7317;90º;752º;0,8449;472º;2.949º;0,3934;597º;3.937º;0,1847;378º;3.003º;0,3785
312790;MG;Grupiara;632º;4.306º;0,2455;640º;3.933º;0,4039;770º;4.987º;0,1331;701º;4.245º;0,2208;292º;2.180º;0,3614;467º;3.488º;0,3250
312800;MG;Guanhães;480º;3.369º;0,3758;603º;3.631º;0,4512;659º;4.315º;0,2315;629º;3.791º;0,2833;543º;3.553º;0,2163;564º;4.013º;0,2660
312810;MG;Guapé;239º;1.867º;0,6215;1º;1º;1,0000;645º;4.265º;0,2394;551º;3.368º;0,3381;817º;5.206º;0,0604;813º;5.229º;0,0806
312820;MG;Guaraciaba;418º;3.082º;0,4134;187º;1.332º;0,8977;258º;1.829º;0,5649;593º;3.583º;0,3098;414º;2.891º;0,2807;597º;4.201º;0,2451
312825;MG;Guaraciama;581º;4.009º;0,2871;383º;2.407º;0,6574;209º;1.596º;0,6041;564º;3.420º;0,3316;790º;5.032º;0,0834;341º;2.834º;0,3991
312830;MG;Guaranésia;525º;3.727º;0,3246;493º;2.968º;0,5637;818º;5.216º;0,0804;1º;1º;1,0000;388º;2.762º;0,2942;72º;735º;0,8237
312840;MG;Guarani;427º;3.140º;0,4056;624º;3.794º;0,4261;378º;2.658º;0,4398;770º;4.701º;0,1516;357º;2.571º;0,3140;454º;3.434º;0,3308
312850;MG;Guarará;625º;4.257º;0,2521;334º;2.093º;0,7248;613º;4.080º;0,2618;621º;3.767º;0,2864;660º;4.321º;0,1530;441º;3.336º;0,3412
312860;MG;Guarda-Mor;135º;1.102º;0,7930;474º;2.850º;0,5810;230º;1.707º;0,5841;590º;3.570º;0,3110;145º;1.165º;0,5311;48º;567º;0,9087
312870;MG;Guaxupé;436º;3.180º;0,4004;224º;1.497º;0,8545;749º;4.855º;0,1549;420º;2.716º;0,4254;365º;2.609º;0,3100;718º;4.781º;0,1709
312880;MG;Guidoval;1º;1º;1,0000;1º;1º;1,0000;120º;1.050º;0,7340;414º;2.676º;0,4300;271º;1.983º;0,3868;nd;nd;nd
312890;MG;Guimarânia;1º;1º;1,0000;567º;3.419º;0,4863;702º;4.559º;0,1996;nd;nd;nd;583º;3.802º;0,1948;67º;692º;0,8451
312900;MG;Guiricema;459º;3.286º;0,3863;208º;1.403º;0,8801;388º;2.692º;0,4347;1º;1º;1,0000;576º;3.758º;0,1984;786º;5.117º;0,1104
312910;MG;Gurinhatã;337º;2.460º;0,5070;162º;1.176º;0,9433;1º;1º;1,0000;nd;nd;nd;206º;1.534º;0,4567;748º;4.956º;0,1456
312920;MG;Heliodora;481º;3.381º;0,3751;274º;1.785º;0,7934;227º;1.698º;0,5863;312º;2.115º;0,5154;189º;1.467º;0,4694;86º;865º;0,7741
312930;MG;Iapu;155º;1.272º;0,7427;338º;2.123º;0,7162;381º;2.673º;0,4375;518º;3.225º;0,3568;318º;2.370º;0,3374;477º;3.538º;0,3210
312940;MG;Ibertioga;165º;1.339º;0,7249;542º;3.296º;0,5067;384º;2.677º;0,4366;272º;1.884º;0,5578;404º;2.837º;0,2851;655º;4.479º;0,2141
312950;MG;Ibiá;167º;1.364º;0,7184;559º;3.382º;0,4924;591º;3.976º;0,2752;760º;4.663º;0,1593;594º;3.920º;0,1861;305º;2.589º;0,4311
312960;MG;Ibiaí;219º;1.726º;0,6455;294º;1.913º;0,7643;166º;1.332º;0,6604;141º;1.075º;0,7525;139º;1.077º;0,5488;121º;1.159º;0,6854
312965;MG;Ibiracatu;364º;2.701º;0,4679;142º;1.034º;0,9902;1º;1º;1,0000;221º;1.546º;0,6257;144º;1.163º;0,5312;819º;5.252º;0,0738
312970;MG;Ibiraci;390º;2.898º;0,4404;139º;1.008º;0,9975;260º;1.848º;0,5626;136º;1.054º;0,7609;451º;3.065º;0,2631;334º;2.789º;0,4043
312980;MG;Ibirité;172º;1.414º;0,7068;218º;1.450º;0,8673;113º;951º;0,7638;70º;589º;0,9633;547º;3.578º;0,2147;486º;3.586º;0,3164
312990;MG;Ibitiúra de Minas;685º;4.602º;0,2020;270º;1.771º;0,7951;223º;1.682º;0,5885;261º;1.806º;0,5737;425º;2.939º;0,2770;638º;4.396º;0,2254
313000;MG;Ibituruna;nd;nd;nd;442º;2.697º;0,6054;571º;3.889º;0,2845;513º;3.205º;0,3594;492º;3.325º;0,2376;445º;3.374º;0,3380
313005;MG;Icaraí de Minas;786º;5.115º;0,1028;628º;3.843º;0,4170;89º;745º;0,8462;97º;741º;0,8807;748º;4.832º;0,1069;509º;3.708º;0,3022
313010;MG;Igarapé;79º;640º;0,9623;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;95º;739º;0,6392;606º;4.237º;0,2413
313020;MG;Igaratinga;1º;1º;1,0000;502º;3.046º;0,5496;606º;4.056º;0,2642;88º;693º;0,9070;814º;5.163º;0,0675;702º;4.714º;0,1807
313030;MG;Iguatama;191º;1.551º;0,6771;258º;1.720º;0,8038;167º;1.341º;0,6583;358º;2.388º;0,4728;764º;4.919º;0,0970;583º;4.108º;0,2556
313040;MG;Ijaci;468º;3.324º;0,3807;568º;3.421º;0,4862;nd;nd;nd;796º;4.842º;0,1272;693º;4.481º;0,1398;nd;nd;nd
313050;MG;Ilicínea;653º;4.455º;0,2228;700º;4.392º;0,3265;817º;5.213º;0,0818;477º;2.982º;0,3886;717º;4.643º;0,1256;719º;4.788º;0,1703
313055;MG;Imbé de Minas;1º;1º;1,0000;141º;1.033º;0,9905;420º;2.912º;0,4056;167º;1.230º;0,7014;100º;769º;0,6314;285º;2.398º;0,4578
313060;MG;Inconfidentes;605º;4.152º;0,2656;1º;1º;1,0000;182º;1.430º;0,6369;1º;1º;1,0000;448º;3.055º;0,2641;89º;877º;0,7698
313065;MG;Indaiabira;126º;1.031º;0,8190;1º;1º;1,0000;609º;4.070º;0,2627;552º;3.373º;0,3374;521º;3.442º;0,2268;442º;3.337º;0,3411
313070;MG;Indianópolis;nd;nd;nd;216º;1.446º;0,8684;833º;5.307º;0,0382;794º;4.838º;0,1274;834º;5.348º;0,0337;617º;4.282º;0,2361
313080;MG;Ingaí;711º;4.764º;0,1742;609º;3.687º;0,4427;424º;2.924º;0,4049;442º;2.795º;0,4141;652º;4.262º;0,1583;574º;4.081º;0,2592
313090;MG;Inhapim;598º;4.121º;0,2709;188º;1.337º;0,8962;1º;1º;1,0000;119º;919º;0,8055;467º;3.180º;0,2534;663º;4.501º;0,2111
313100;MG;Inhaúma;nd;nd;nd;635º;3.902º;0,4086;96º;808º;0,8173;517º;3.221º;0,3583;746º;4.826º;0,1077;648º;4.449º;0,2187
313110;MG;Inimutaba;782º;5.105º;0,1047;1º;1º;1,0000;104º;881º;0,7917;340º;2.266º;0,4924;582º;3.800º;0,1950;457º;3.449º;0,3289
313115;MG;Ipaba;487º;3.411º;0,3714;388º;2.428º;0,6547;161º;1.311º;0,6655;636º;3.851º;0,2750;276º;2.041º;0,3796;323º;2.725º;0,4126
313120;MG;Ipanema;164º;1.338º;0,7254;152º;1.101º;0,9684;141º;1.179º;0,6985;178º;1.301º;0,6844;197º;1.500º;0,4630;699º;4.694º;0,1850
313130;MG;Ipatinga;746º;4.961º;0,1380;804º;5.105º;0,1541;656º;4.302º;0,2336;104º;788º;0,8646;695º;4.496º;0,1383;794º;5.155º;0,1018
313140;MG;Ipiaçu;nd;nd;nd;805º;5.115º;0,1479;829º;5.282º;0,0500;833º;5.163º;0,0482;506º;3.368º;0,2332;739º;4.866º;0,1573
313150;MG;Ipuiúna;202º;1.633º;0,6630;297º;1.933º;0,7606;444º;3.048º;0,3886;473º;2.954º;0,3929;496º;3.336º;0,2365;348º;2.871º;0,3942
313160;MG;Iraí de Minas;250º;1.930º;0,6085;209º;1.404º;0,8798;1º;1º;1,0000;688º;4.176º;0,2316;435º;2.982º;0,2724;161º;1.506º;0,6105
313170;MG;Itabira;328º;2.402º;0,5170;1º;1º;1,0000;228º;1.701º;0,5856;459º;2.883º;0,4004;242º;1.792º;0,4139;466º;3.487º;0,3251
313180;MG;Itabirinha;187º;1.517º;0,6848;1º;1º;1,0000;69º;592º;0,9138;290º;1.973º;0,5408;70º;540º;0,7188;310º;2.633º;0,4248
313190;MG;Itabirito;110º;871º;0,8697;1º;1º;1,0000;241º;1.746º;0,5780;322º;2.184º;0,5038;196º;1.496º;0,4640;227º;1.960º;0,5253
313200;MG;Itacambira;679º;4.582º;0,2047;616º;3.731º;0,4333;532º;3.635º;0,3162;843º;5.219º;0,0238;642º;4.202º;0,1623;447º;3.377º;0,3374
313210;MG;Itacarambi;433º;3.166º;0,4019;570º;3.437º;0,4838;697º;4.511º;0,2060;572º;3.467º;0,3254;723º;4.689º;0,1213;761º;4.998º;0,1388
313220;MG;Itaguara;92º;739º;0,9204;1º;1º;1,0000;199º;1.545º;0,6133;404º;2.618º;0,4374;370º;2.638º;0,3063;245º;2.145º;0,4950
313230;MG;Itaipé;100º;787º;0,9052;496º;2.996º;0,5579;396º;2.729º;0,4291;512º;3.202º;0,3598;205º;1.528º;0,4580;141º;1.351º;0,6452
313240;MG;Itajubá;299º;2.212º;0,5538;537º;3.264º;0,5130;212º;1.608º;0,6006;511º;3.193º;0,3609;428º;2.953º;0,2749;579º;4.097º;0,2561
313250;MG;Itamarandiba;278º;2.094º;0,5742;773º;4.842º;0,2310;726º;4.688º;0,1834;344º;2.287º;0,4888;612º;4.016º;0,1793;385º;3.076º;0,3707
313260;MG;Itamarati de Minas;584º;4.026º;0,2835;594º;3.570º;0,4597;275º;1.962º;0,5422;533º;3.288º;0,3483;449º;3.057º;0,2639;320º;2.701º;0,4160
313270;MG;Itambacuri;475º;3.352º;0,3777;305º;1.981º;0,7500;138º;1.163º;0,7022;417º;2.694º;0,4271;458º;3.119º;0,2584;241º;2.116º;0,4999
313280;MG;Itambé do Mato Dentro;118º;974º;0,8329;445º;2.705º;0,6036;452º;3.106º;0,3816;343º;2.281º;0,4894;544º;3.556º;0,2162;1º;1º;1,0000
313290;MG;Itamogi;113º;920º;0,8496;756º;4.724º;0,2600;481º;3.320º;0,3548;1º;1º;1,0000;661º;4.331º;0,1522;338º;2.818º;0,4008
313300;MG;Itamonte;448º;3.242º;0,3924;782º;4.924º;0,2097;766º;4.967º;0,1368;820º;5.073º;0,0745;568º;3.707º;0,2031;162º;1.512º;0,6090
313310;MG;Itanhandu;706º;4.751º;0,1769;798º;5.076º;0,1635;728º;4.700º;0,1806;265º;1.842º;0,5650;512º;3.396º;0,2307;779º;5.068º;0,1245
313320;MG;Itanhomi;403º;2.961º;0,4308;573º;3.454º;0,4793;530º;3.623º;0,3178;295º;1.995º;0,5371;226º;1.704º;0,4289;256º;2.218º;0,4843
313330;MG;Itaobim;138º;1.113º;0,7896;146º;1.065º;0,9798;203º;1.563º;0,6101;114º;880º;0,8202;40º;324º;0,8387;388º;3.086º;0,3700
313340;MG;Itapagipe;122º;1.014º;0,8223;481º;2.894º;0,5758;334º;2.372º;0,4814;348º;2.316º;0,4863;142º;1.126º;0,5382;271º;2.335º;0,4673
313350;MG;Itapecerica;680º;4.588º;0,2040;697º;4.382º;0,3285;655º;4.296º;0,2340;535º;3.304º;0,3463;733º;4.741º;0,1155;615º;4.272º;0,2372
313360;MG;Itapeva;501º;3.548º;0,3502;702º;4.419º;0,3220;486º;3.343º;0,3517;85º;677º;0,9164;109º;819º;0,6154;75º;777º;0,8084
313370;MG;Itatiaiuçu;1º;1º;1,0000;nd;nd;nd;1º;1º;1,0000;1º;1º;1,0000;596º;3.936º;0,1848;678º;4.585º;0,2000
313375;MG;Itaú de Minas;384º;2.842º;0,4471;691º;4.331º;0,3368;449º;3.088º;0,3833;611º;3.720º;0,2936;650º;4.254º;0,1587;604º;4.222º;0,2433
313380;MG;Itaúna;402º;2.959º;0,4309;227º;1.510º;0,8511;583º;3.936º;0,2796;447º;2.816º;0,4099;486º;3.292º;0,2413;570º;4.042º;0,2627
313390;MG;Itaverava;408º;3.011º;0,4239;1º;1º;1,0000;198º;1.535º;0,6155;550º;3.367º;0,3382;390º;2.770º;0,2931;521º;3.750º;0,2981
313400;MG;Itinga;564º;3.891º;0,3045;386º;2.420º;0,6560;596º;3.996º;0,2719;121º;926º;0,8036;302º;2.230º;0,3549;557º;3.979º;0,2707
313410;MG;Itueta;145º;1.173º;0,7707;248º;1.667º;0,8152;678º;4.396º;0,2207;788º;4.824º;0,1317;21º;189º;0,9799;51º;587º;0,8952
313420;MG;Ituiutaba;323º;2.385º;0,5199;193º;1.345º;0,8938;136º;1.126º;0,7124;532º;3.287º;0,3483;534º;3.499º;0,2214;375º;2.974º;0,3824
313430;MG;Itumirim;467º;3.314º;0,3822;nd;nd;nd;171º;1.379º;0,6479;717º;4.330º;0,2067;728º;4.703º;0,1199;132º;1.299º;0,6545
313440;MG;Iturama;449º;3.248º;0,3913;604º;3.668º;0,4453;753º;4.866º;0,1530;409º;2.652º;0,4331;334º;2.440º;0,3289;754º;4.977º;0,1423
313450;MG;Itutinga;454º;3.264º;0,3892;253º;1.700º;0,8078;621º;4.110º;0,2574;387º;2.524º;0,4517;443º;3.024º;0,2675;154º;1.446º;0,6239
313460;MG;Jaboticatubas;369º;2.758º;0,4605;737º;4.618º;0,2821;418º;2.884º;0,4098;802º;4.897º;0,1144;317º;2.338º;0,3412;260º;2.247º;0,4804
313470;MG;Jacinto;285º;2.127º;0,5671;1º;1º;1,0000;317º;2.254º;0,4969;164º;1.187º;0,7159;507º;3.369º;0,2331;556º;3.967º;0,2726
313480;MG;Jacuí;544º;3.813º;0,3152;379º;2.383º;0,6619;254º;1.813º;0,5667;813º;5.019º;0,0872;168º;1.362º;0,4879;65º;649º;0,8627
313490;MG;Jacutinga;444º;3.222º;0,3947;578º;3.502º;0,4716;790º;5.085º;0,1110;681º;4.121º;0,2381;636º;4.174º;0,1651;500º;3.660º;0,3087
313500;MG;Jaguaraçu;515º;3.648º;0,3358;721º;4.534º;0,2978;315º;2.250º;0,4975;443º;2.799º;0,4123;617º;4.032º;0,1771;535º;3.815º;0,2911
