Código;UF;Município;Ranking Estadual 2013;Ranking IFGF Investimentos 2013;IFGF Investimentos 2013;Ranking Estadual 2014;Ranking IFGF Investimentos 2014;IFGF Investimentos 2014;Ranking Estadual 2015;Ranking IFGF Investimentos 2015;IFGF Investimentos 2015;Ranking Estadual 2016;Ranking IFGF Investimentos 2016;IFGF Investimentos 2016;Ranking Estadual 2017;Ranking IFGF Investimentos 2017;IFGF Investimentos 2017;Ranking Estadual 2018;Ranking IFGF Investimentos 2018;IFGF Investimentos 2018
220265;PI;Caxingó;158º;3.198º;0,3972;106º;2.305º;0,6770;134º;3.367º;0,3493;131º;2.526º;0,4516;40º;594º;0,6960;30º;970º;0,7392
220270;PI;Cocal;44º;658º;0,9532;103º;2.224º;0,6919;1º;1º;1,0000;40º;640º;0,9308;100º;1.718º;0,4261;96º;2.237º;0,4825
220271;PI;Cocal de Telha;201º;4.942º;0,1419;153º;3.325º;0,5006;45º;914º;0,7763;1º;1º;1,0000;nd;nd;nd;nd;nd;nd
220272;PI;Cocal dos Alves;72º;1.222º;0,7580;52º;1.084º;0,9735;155º;3.957º;0,2773;51º;799º;0,8597;74º;1.161º;0,5314;21º;511º;0,9403
220273;PI;Coivaras;157º;3.190º;0,3980;197º;4.809º;0,2408;204º;5.246º;0,0670;193º;5.118º;0,0615;161º;3.796º;0,1951;47º;1.297º;0,6552
220275;PI;Colônia do Gurguéia;1º;1º;1,0000;193º;4.548º;0,2951;169º;4.242º;0,2422;64º;1.045º;0,7641;208º;5.352º;0,0330;188º;4.771º;0,1725
220277;PI;Colônia do Piauí;141º;2.743º;0,4624;80º;1.722º;0,8037;106º;2.554º;0,4538;75º;1.222º;0,7028;66º;1.034º;0,5569;133º;3.210º;0,3556
220280;PI;Conceição do Canindé;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;80º;1.232º;0,5144;22º;551º;0,9149
220285;PI;Coronel José Dias;128º;2.579º;0,4889;122º;2.663º;0,6105;33º;640º;0,8899;60º;932º;0,8010;1º;1º;1,0000;139º;3.334º;0,3416
220290;PI;Corrente;135º;2.654º;0,4753;71º;1.518º;0,8501;79º;2.067º;0,5269;87º;1.417º;0,6565;79º;1.220º;0,5184;110º;2.610º;0,4273
220300;PI;Cristalândia do Piauí;1º;1º;1,0000;1º;1º;1,0000;51º;1.078º;0,7284;163º;3.919º;0,2665;209º;5.387º;0,0217;132º;3.117º;0,3668
220310;PI;Cristino Castro;47º;691º;0,9376;111º;2.491º;0,6433;103º;2.499º;0,4608;152º;3.418º;0,3316;197º;5.052º;0,0810;117º;2.799º;0,4030
220320;PI;Curimatá;174º;3.842º;0,3116;165º;3.727º;0,4348;144º;3.611º;0,3192;145º;3.118º;0,3692;184º;4.424º;0,1436;77º;1.881º;0,5364
220323;PI;Currais;1º;1º;1,0000;208º;5.060º;0,1666;nd;nd;nd;164º;3.963º;0,2602;207º;5.343º;0,0347;197º;5.057º;0,1272
