Tabela 1301 - Área e Densidade demográfica da unidade territorial;;;
Variável - Densidade demográfica da unidade territorial (Habitante por quilômetro quadrado);;;
Nível;Cód.;Município;Ano
MU;1504976;Nova Ipixuna (PA);9,36
MU;1505007;Nova Timboteua (PA);27,91
MU;1505031;Novo Progresso (PA);0,66
MU;1505064;Novo Repartimento (PA);4,03
MU;1505106;Óbidos (PA);1,76
MU;1505205;Oeiras do Pará (PA);7,42
MU;1505304;Oriximiná (PA);0,58
MU;1505403;Ourém (PA);29
MU;1505437;Ourilândia do Norte (PA);1,91
MU;1505486;Pacajá (PA);3,38
MU;1505494;Palestina do Pará (PA);7,59
MU;1505502;Paragominas (PA);5,06
MU;1505536;Parauapebas (PA);22,12
MU;1505551;Pau D'Arco (PA);3,61
MU;1505601;Peixe-Boi (PA);17,4
MU;1505635;Piçarra (PA);3,83
MU;1505650;Placas (PA);3,34
MU;1505700;Ponta de Pedras (PA);7,73
MU;1505809;Portel (PA);2,06
MU;1505908;Porto de Moz (PA);1,95
MU;1506005;Prainha (PA);1,98
MU;1506104;Primavera (PA);39,71
MU;1506112;Quatipuru (PA);38,28
MU;1506138;Redenção (PA);19,76
MU;1506161;Rio Maria (PA);4,3
MU;1506187;Rondon do Pará (PA);5,7
MU;1506195;Rurópolis (PA);5,71
MU;1506203;Salinópolis (PA);157,57
MU;1506302;Salvaterra (PA);19,42
MU;1506351;Santa Bárbara do Pará (PA);61,62
MU;1506401;Santa Cruz do Arari (PA);7,58
MU;1506500;Santa Izabel do Pará (PA);82,86
MU;1506559;Santa Luzia do Pará (PA);14,32
MU;1506583;Santa Maria das Barreiras (PA);1,67
MU;1506609;Santa Maria do Pará (PA);50,31
MU;1506708;Santana do Araguaia (PA);4,84
MU;1506807;Santarém (PA);12,87
MU;1506906;Santarém Novo (PA);26,76
MU;1507003;Santo Antônio do Tauá (PA);49,61
MU;1507102;São Caetano de Odivelas (PA);22,72
MU;1507151;São Domingos do Araguaia (PA);16,61
MU;1507201;São Domingos do Capim (PA);17,79
MU;1507300;São Félix do Xingu (PA);1,08
MU;1507409;São Francisco do Pará (PA);31,4
MU;1507458;São Geraldo do Araguaia (PA);8,08
MU;1507466;São João da Ponta (PA);26,87
MU;1507474;São João de Pirabas (PA);29,25
MU;1507508;São João do Araguaia (PA);10,28
MU;1507607;São Miguel do Guamá (PA);46,45
