Tabela 1301 - Área e Densidade demográfica da unidade territorial;;;
Variável - Densidade demográfica da unidade territorial (Habitante por quilômetro quadrado);;;
Nível;Cód.;Município;Ano
MU;3147303;Paraisópolis (MG);58,5
MU;3147402;Paraopeba (MG);36,06
MU;3147501;Passabém (MG);18,75
MU;3147600;Passa Quatro (MG);56,21
MU;3147709;Passa Tempo (MG);19,1
MU;3147808;Passa Vinte (MG);8,43
MU;3147907;Passos (MG);79,44
MU;3147956;Patis (MG);12,56
MU;3148004;Patos de Minas (MG);43,49
MU;3148103;Patrocínio (MG);28,69
MU;3148202;Patrocínio do Muriaé (MG);48,84
MU;3148301;Paula Cândido (MG);34,55
MU;3148400;Paulistas (MG);22,3
MU;3148509;Pavão (MG);14,29
MU;3148608;Peçanha (MG);17,32
MU;3148707;Pedra Azul (MG);14,94
MU;3148756;Pedra Bonita (MG);38,37
MU;3148806;Pedra do Anta (MG);20,59
MU;3148905;Pedra do Indaiá (MG);11,14
MU;3149002;Pedra Dourada (MG);31,3
MU;3149101;Pedralva (MG);52,6
MU;3149150;Pedras de Maria da Cruz (MG);6,76
MU;3149200;Pedrinópolis (MG);9,75
MU;3149309;Pedro Leopoldo (MG);200,49
MU;3149408;Pedro Teixeira (MG);15,8
MU;3149507;Pequeri (MG);34,84
MU;3149606;Pequi (MG);19,98
MU;3149705;Perdigão (MG);35,77
MU;3149804;Perdizes (MG);5,88
MU;3149903;Perdões (MG);74,22
MU;3149952;Periquito (MG);30,74
MU;3150000;Pescador (MG);13
MU;3150109;Piau (MG);14,78
MU;3150158;Piedade de Caratinga (MG);65,02
MU;3150208;Piedade de Ponte Nova (MG);48,51
MU;3150307;Piedade do Rio Grande (MG);14,59
MU;3150406;Piedade dos Gerais (MG);17,87
MU;3150505;Pimenta (MG);19,85
MU;3150539;Pingo d'Água (MG);66,4
MU;3150570;Pintópolis (MG);5,87
MU;3150604;Piracema (MG);22,85
MU;3150703;Pirajuba (MG);13,78
MU;3150802;Piranga (MG);26,16
MU;3150901;Piranguçu (MG);25,62
MU;3151008;Piranguinho (MG);64,23
MU;3151107;Pirapetinga (MG);54,35
MU;3151206;Pirapora (MG);97,12
MU;3151305;Piraúba (MG);75,28
MU;3151404;Pitangui (MG);44,44
MU;3151503;Piumhi (MG);35,33
MU;3151602;Planura (MG);32,7
MU;3151701;Poço Fundo (MG);33,65
MU;3151800;Poços de Caldas (MG);278,54
MU;3151909;Pocrane (MG);13
MU;3152006;Pompéu (MG);11,41
MU;3152105;Ponte Nova (MG);121,94
MU;3152131;Ponto Chique (MG);6,58
MU;3152170;Ponto dos Volantes (MG);9,36
MU;3152204;Porteirinha (MG);21,51
MU;3152303;Porto Firme (MG);36,58
MU;3152402;Poté (MG);25,06
MU;3152501;Pouso Alegre (MG);240,51
MU;3152600;Pouso Alto (MG);23,74
MU;3152709;Prados (MG);31,77
MU;3152808;Prata (MG);5,32
MU;3152907;Pratápolis (MG);40,86
MU;3153004;Pratinha (MG);5,25
MU;3153103;Presidente Bernardes (MG);23,38
MU;3153202;Presidente Juscelino (MG);5,62
MU;3153301;Presidente Kubitschek (MG);15,64
MU;3153400;Presidente Olegário (MG);5,3
MU;3153509;Alto Jequitibá (MG);54,63
MU;3153608;Prudente de Morais (MG);77,08
MU;3153707;Quartel Geral (MG);5,94
MU;3153806;Queluzito (MG);12,12
MU;3153905;Raposos (MG);212,58
MU;3154002;Raul Soares (MG);31,2
MU;3154101;Recreio (MG);43,96
MU;3154150;Reduto (MG);43,26
MU;3154200;Resende Costa (MG);17,65
MU;3154309;Resplendor (MG);15,8
MU;3154408;Ressaquinha (MG);25,52
MU;3154457;Riachinho (MG);4,5
MU;3154507;Riacho dos Machados (MG);7,11
MU;3154606;Ribeirão das Neves (MG);1917,9
MU;3154705;Ribeirão Vermelho (MG);77,68
MU;3154804;Rio Acima (MG);39,55
MU;3154903;Rio Casca (MG);36,95
MU;3155009;Rio Doce (MG);21,99
MU;3155108;Rio do Prado (MG);10,87
MU;3155207;Rio Espera (MG);25,44
MU;3155306;Rio Manso (MG);22,79
MU;3155405;Rio Novo (MG);41,62
MU;3155504;Rio Paranaíba (MG);8,79
MU;3155603;Rio Pardo de Minas (MG);9,33
MU;3155702;Rio Piracicaba (MG);37,93
MU;3155801;Rio Pomba (MG);67,78
MU;3155900;Rio Preto (MG);15,2
MU;3156007;Rio Vermelho (MG);13,83
MU;3156106;Ritápolis (MG);12,17
MU;3156205;Rochedo de Minas (MG);26,65
MU;3156304;Rodeiro (MG);94,49
MU;3156403;Romaria (MG);8,82
MU;3156452;Rosário da Limeira (MG);38,21
MU;3156502;Rubelita (MG);7
MU;3156601;Rubim (MG);10,28
MU;3156700;Sabará (MG);417,87
MU;3156809;Sabinópolis (MG);17,07
MU;3156908;Sacramento (MG);7,78
MU;3157005;Salinas (MG);20,75
MU;3157104;Salto da Divisa (MG);7,31
MU;3157203;Santa Bárbara (MG);40,75
MU;3157252;Santa Bárbara do Leste (MG);71,53
MU;3157278;Santa Bárbara do Monte Verde (MG);6,67
MU;3157302;Santa Bárbara do Tugúrio (MG);23,49
MU;3157336;Santa Cruz de Minas (MG);2206,17
MU;3157377;Santa Cruz de Salinas (MG);7,46
MU;3157401;Santa Cruz do Escalvado (MG);19,29
MU;3157500;Santa Efigênia de Minas (MG);34,86
MU;3157609;Santa Fé de Minas (MG);1,36
MU;3157658;Santa Helena de Minas (MG);21,9
MU;3157708;Santa Juliana (MG);15,66
MU;3157807;Santa Luzia (MG);862,38
MU;3157906;Santa Margarida (MG);58,7
MU;3158003;Santa Maria de Itabira (MG);17,66
MU;3158102;Santa Maria do Salto (MG);11,99
MU;3158201;Santa Maria do Suaçuí (MG);23,07
MU;3158300;Santana da Vargem (MG);41,93
MU;3158409;Santana de Cataguases (MG);22,43
MU;3158508;Santana de Pirapama (MG);6,38
MU;3158607;Santana do Deserto (MG);21,13
MU;3158706;Santana do Garambéu (MG);11
MU;3158805;Santana do Jacaré (MG);43,39
MU;3158904;Santana do Manhuaçu (MG);24,71
MU;3158953;Santana do Paraíso (MG);98,76
MU;3159001;Santana do Riacho (MG);5,94
MU;3159100;Santana dos Montes (MG);19,44
MU;3159209;Santa Rita de Caldas (MG);17,95
MU;3159308;Santa Rita de Jacutinga (MG);11,86
MU;3159357;Santa Rita de Minas (MG);96,06
MU;3159407;Santa Rita de Ibitipoca (MG);11,05
MU;3159506;Santa Rita do Itueto (MG);11,74
MU;3159605;Santa Rita do Sapucaí (MG);106,96
MU;3159704;Santa Rosa da Serra (MG);11,34
MU;3159803;Santa Vitória (MG);6,04
MU;3159902;Santo Antônio do Amparo (MG);35,48
MU;3160009;Santo Antônio do Aventureiro (MG);17,51
MU;3160108;Santo Antônio do Grama (MG);31,37
MU;3160207;Santo Antônio do Itambé (MG);13,52
MU;3160306;Santo Antônio do Jacinto (MG);23,39
MU;3160405;Santo Antônio do Monte (MG);23,07
MU;3160454;Santo Antônio do Retiro (MG);8,73
MU;3160504;Santo Antônio do Rio Abaixo (MG);16,57
MU;3160603;Santo Hipólito (MG);7,52
MU;3160702;Santos Dumont (MG);72,62
MU;3160801;São Bento Abade (MG);56,93
MU;3160900;São Brás do Suaçuí (MG);31,93
MU;3160959;São Domingos das Dores (MG);88,85
MU;3161007;São Domingos do Prata (MG);23,34
MU;3161056;São Félix de Minas (MG);20,8
MU;3161106;São Francisco (MG);16,27
MU;3161205;São Francisco de Paula (MG);20,46
MU;3161304;São Francisco de Sales (MG);5,12
MU;3161403;São Francisco do Glória (MG);31,46
MU;3161502;São Geraldo (MG);55,3
MU;3161601;São Geraldo da Piedade (MG);28,81
MU;3161650;São Geraldo do Baixio (MG);12,41
MU;3161700;São Gonçalo do Abaeté (MG);2,33
MU;3161809;São Gonçalo do Pará (MG);39,13
MU;3161908;São Gonçalo do Rio Abaixo (MG);26,87
MU;3162005;São Gonçalo do Sapucaí (MG);46,27
MU;3162104;São Gotardo (MG);36,74
MU;3162203;São João Batista do Glória (MG);12,57
MU;3162252;São João da Lagoa (MG);4,67
MU;3162302;São João da Mata (MG);22,66
MU;3162401;São João da Ponte (MG);13,7
MU;3162450;São João das Missões (MG);17,27
MU;3162500;São João del Rei (MG);57,68
MU;3162559;São João do Manhuaçu (MG);71,6
MU;3162575;São João do Manteninha (MG);37,61
MU;3162609;São João do Oriente (MG);65,55
MU;3162658;São João do Pacuí (MG);9,76
MU;3162708;São João do Paraíso (MG);11,59
MU;3162807;São João Evangelista (MG);32,53
MU;3162906;São João Nepomuceno (MG);61,5
MU;3162922;São Joaquim de Bicas (MG);356,88
MU;3162948;São José da Barra (MG);21,57
MU;3162955;São José da Lapa (MG);413,09
MU;3163003;São José da Safira (MG);19,05
MU;3163102;São José da Varginha (MG);20,43
MU;3163201;São José do Alegre (MG);45
MU;3163300;São José do Divino (MG);11,66
MU;3163409;São José do Goiabal (MG);30,55
MU;3163508;São José do Jacuri (MG);18,99
MU;3163607;São José do Mantimento (MG);47,38
MU;3163706;São Lourenço (MG);717,99
MU;3163805;São Miguel do Anta (MG);44,44
MU;3163904;São Pedro da União (MG);19,32
MU;3164001;São Pedro dos Ferros (MG);20,75
MU;3164100;São Pedro do Suaçuí (MG);18,08
MU;3164209;São Romão (MG);4,22
MU;3164308;São Roque de Minas (MG);3,19
MU;3164407;São Sebastião da Bela Vista (MG);29,6
MU;3164431;São Sebastião da Vargem Alegre (MG);38
MU;3164472;São Sebastião do Anta (MG);71,19
MU;3164506;São Sebastião do Maranhão (MG);20,56
MU;3164605;São Sebastião do Oeste (MG);14,22
MU;3164704;São Sebastião do Paraíso (MG);79,74
MU;3164803;São Sebastião do Rio Preto (MG);12,6
MU;3164902;São Sebastião do Rio Verde (MG);22,89
MU;3165008;São Tiago (MG);18,45
MU;3165107;São Tomás de Aquino (MG);25,52
MU;3165206;São Thomé das Letras (MG);18
MU;3165305;São Vicente de Minas (MG);17,85
MU;3165404;Sapucaí-Mirim (MG);21,89
MU;3165503;Sardoá (MG);39,42
MU;3165537;Sarzedo (MG);415,46
MU;3165552;Setubinha (MG);20,36
MU;3165560;Sem-Peixe (MG);16,12
MU;3165578;Senador Amaral (MG);34,54
MU;3165602;Senador Cortes (MG);20,22
MU;3165701;Senador Firmino (MG);43,42
MU;3165800;Senador José Bento (MG);19,9
MU;3165909;Senador Modestino Gonçalves (MG);4,8
MU;3166006;Senhora de Oliveira (MG);33,28
MU;3166105;Senhora do Porto (MG);9,17
MU;3166204;Senhora dos Remédios (MG);42,87
MU;3166303;Sericita (MG);42,94
MU;3166402;Seritinga (MG);15,59
MU;3166501;Serra Azul de Minas (MG);19,31
MU;3166600;Serra da Saudade (MG);2,43
MU;3166709;Serra dos Aimorés (MG);39,39
MU;3166808;Serra do Salitre (MG);8,14
MU;3166907;Serrania (MG);36,04
MU;3166956;Serranópolis de Minas (MG);8,02
MU;3167004;Serranos (MG);9,36
MU;3167103;Serro (MG);17,11
MU;3167202;Sete Lagoas (MG);398,32
MU;3167301;Silveirânia (MG);13,92
MU;3167400;Silvianópolis (MG);19,31
MU;3167509;Simão Pereira (MG);18,7
MU;3167608;Simonésia (MG);37,61
MU;3167707;Sobrália (MG);28,19
MU;3167806;Soledade de Minas (MG);28,83
MU;3167905;Tabuleiro (MG);19,32
MU;3168002;Taiobeiras (MG);25,88
MU;3168051;Taparuba (MG);16,25
MU;3168101;Tapira (MG);3,49
MU;3168200;Tapiraí (MG);4,59
MU;3168309;Taquaraçu de Minas (MG);11,52
MU;3168408;Tarumirim (MG);19,53
MU;3168507;Teixeiras (MG);68,1
MU;3168606;Teófilo Otoni (MG);41,56
MU;3168705;Timóteo (MG);562,7
MU;3168804;Tiradentes (MG);83,82
MU;3168903;Tiros (MG);3,3
MU;3169000;Tocantins (MG);91,01
MU;3169059;Tocos do Moji (MG);34,44
MU;3169109;Toledo (MG);42,14
MU;3169208;Tombos (MG);33,45
MU;3169307;Três Corações (MG);87,88
MU;3169356;Três Marias (MG);10,57
MU;3169406;Três Pontas (MG);78,08
MU;3169505;Tumiritinga (MG);12,58
MU;3169604;Tupaciguara (MG);13,26
MU;3169703;Turmalina (MG);15,66
MU;3169802;Turvolândia (MG);21,08
MU;3169901;Ubá (MG);249,16
MU;3170008;Ubaí (MG);14,24
MU;3170057;Ubaporanga (MG);63,69
MU;3170107;Uberaba (MG);65,43
MU;3170206;Uberlândia (MG);146,78
MU;3170305;Umburatiba (MG);6,67
MU;3170404;Unaí (MG);9,18
MU;3170438;União de Minas (MG);3,85
MU;3170479;Uruana de Minas (MG);5,41
MU;3170503;Urucânia (MG);74,15
MU;3170529;Urucuia (MG);6,55
MU;3170578;Vargem Alegre (MG);55,38
MU;3170602;Vargem Bonita (MG);5,28
MU;3170651;Vargem Grande do Rio Pardo (MG);9,63
MU;3170701;Varginha (MG);311,29
MU;3170750;Varjão de Minas (MG);9,29
MU;3170800;Várzea da Palma (MG);16,13
MU;3170909;Varzelândia (MG);23,46
MU;3171006;Vazante (MG);10,31
MU;3171030;Verdelândia (MG);5,31
MU;3171071;Veredinha (MG);8,78
MU;3171105;Veríssimo (MG);3,38
MU;3171154;Vermelho Novo (MG);40,69
MU;3171204;Vespasiano (MG);1468,49
MU;3171303;Viçosa (MG);241,2
MU;3171402;Vieiras (MG);33,11
MU;3171501;Mathias Lobato (MG);19,56
MU;3171600;Virgem da Lapa (MG);15,67
MU;3171709;Virgínia (MG);26,41
MU;3171808;Virginópolis (MG);24,03
MU;3171907;Virgolândia (MG);20,13
MU;3172004;Visconde do Rio Branco (MG);155,91
MU;3172103;Volta Grande (MG);24,36
MU;3172202;Wenceslau Braz (MG);24,91
MU;3200102;Afonso Cláudio (ES);32,57
MU;3200136;Águia Branca (ES);21,17
MU;3200169;Água Doce do Norte (ES);24,32
MU;3200201;Alegre (ES);39,82
MU;3200300;Alfredo Chaves (ES);22,67
MU;3200359;Alto Rio Novo (ES);32,13
MU;3200409;Anchieta (ES);58,61
MU;3200508;Apiacá (ES);38,8
MU;3200607;Aracruz (ES);56,99
MU;3200706;Atílio Vivácqua (ES);43,43
MU;3200805;Baixo Guandu (ES);31,68
MU;3200904;Barra de São Francisco (ES);43,53
MU;3201001;Boa Esperança (ES);33,13
MU;3201100;Bom Jesus do Norte (ES);106,45
MU;3201159;Brejetuba (ES);34,79
MU;3201209;Cachoeiro de Itapemirim (ES);216,57
MU;3201308;Cariacica (ES);1245,6
MU;3201407;Castelo (ES);52,31
MU;3201506;Colatina (ES);78,54
MU;3201605;Conceição da Barra (ES);23,95
MU;3201704;Conceição do Castelo (ES);31,63
MU;3201803;Divino de São Lourenço (ES);25,69
MU;3201902;Domingos Martins (ES);25,99
MU;3202009;Dores do Rio Preto (ES);40,35
MU;3202108;Ecoporanga (ES);10,17
MU;3202207;Fundão (ES);60,9
MU;3202256;Governador Lindenberg (ES);30,22
MU;3202306;Guaçuí (ES);59,54
MU;3202405;Guarapari (ES);176,81
MU;3202454;Ibatiba (ES);92,77
MU;3202504;Ibiraçu (ES);55,93
MU;3202553;Ibitirama (ES);27,19
MU;3202603;Iconha (ES);61,71
MU;3202652;Irupi (ES);63,56
MU;3202702;Itaguaçu (ES);26,65
MU;3202801;Itapemirim (ES);55,6
MU;3202900;Itarana (ES);36,38
MU;3203007;Iúna (ES);59,36
MU;3203056;Jaguaré (ES);37,6
MU;3203106;Jerônimo Monteiro (ES);67,09
MU;3203130;João Neiva (ES);57,94
MU;3203163;Laranja da Terra (ES);23,69
MU;3203205;Linhares (ES);40,35
MU;3203304;Mantenópolis (ES);42,44
MU;3203320;Marataízes (ES);252,23
MU;3203346;Marechal Floriano (ES);49,85
MU;3203353;Marilândia (ES);35,89
MU;3203403;Mimoso do Sul (ES);29,87
MU;3203502;Montanha (ES);16,26
MU;3203601;Mucurici (ES);10,5
MU;3203700;Muniz Freire (ES);27,06
MU;3203809;Muqui (ES);44,04
MU;3203908;Nova Venécia (ES);31,78
MU;3204005;Pancas (ES);26,16
MU;3204054;Pedro Canário (ES);54,82
MU;3204104;Pinheiros (ES);24,5
MU;3204203;Piúma (ES);242,79
MU;3204252;Ponto Belo (ES);19,6
MU;3204302;Presidente Kennedy (ES);17,59
MU;3204351;Rio Bananal (ES);27,16
MU;3204401;Rio Novo do Sul (ES);55,59
MU;3204500;Santa Leopoldina (ES);17,08
MU;3204559;Santa Maria de Jetibá (ES);46,46
MU;3204609;Santa Teresa (ES);31,42
MU;3204658;São Domingos do Norte (ES);26,72
MU;3204708;São Gabriel da Palha (ES);73,61
MU;3204807;São José do Calçado (ES);38,17
MU;3204906;São Mateus (ES);46,53
MU;3204955;São Roque do Canaã (ES);32,92
MU;3205002;Serra (ES);739,38
MU;3205010;Sooretama (ES);40,18
MU;3205036;Vargem Alta (ES);46,13
MU;3205069;Venda Nova do Imigrante (ES);108,82
MU;3205101;Viana (ES);208,6
MU;3205150;Vila Pavão (ES);20,04
MU;3205176;Vila Valério (ES);29,78
MU;3205200;Vila Velha (ES);1951,99
MU;3205309;Vitória (ES);3327,73
MU;3300100;Angra dos Reis (RJ);205,45
MU;3300159;Aperibé (RJ);107,92
MU;3300209;Araruama (RJ);175,55
MU;3300225;Areal (RJ);102,99
MU;3300233;Armação dos Búzios (RJ);392,16
MU;3300258;Arraial do Cabo (RJ);172,91
MU;3300308;Barra do Piraí (RJ);163,7
MU;3300407;Barra Mansa (RJ);324,94
MU;3300456;Belford Roxo (RJ);6031,38
MU;3300506;Bom Jardim (RJ);65,86
MU;3300605;Bom Jesus do Itabapoana (RJ);59,13
MU;3300704;Cabo Frio (RJ);453,75
MU;3300803;Cachoeiras de Macacu (RJ);56,9
MU;3300902;Cambuci (RJ);26,4
MU;3300936;Carapebus (RJ);43,36
MU;3300951;Comendador Levy Gasparian (RJ);76,53
MU;3301009;Campos dos Goytacazes (RJ);115,16
MU;3301108;Cantagalo (RJ);26,47
MU;3301157;Cardoso Moreira (RJ);24,02
MU;3301207;Carmo (RJ);54,07
MU;3301306;Casimiro de Abreu (RJ);76,71
MU;3301405;Conceição de Macabu (RJ);61,08
MU;3301504;Cordeiro (RJ);175,59
MU;3301603;Duas Barras (RJ);29,14
MU;3301702;Duque de Caxias (RJ);1828,51
MU;3301801;Engenheiro Paulo de Frontin (RJ);99,57
MU;3301850;Guapimirim (RJ);142,7
MU;3301876;Iguaba Grande (RJ);439,91
MU;3301900;Itaboraí (RJ);506,56
MU;3302007;Itaguaí (RJ);395,45
MU;3302056;Italva (RJ);47,86
MU;3302106;Itaocara (RJ);53,09
MU;3302205;Itaperuna (RJ);86,71
MU;3302254;Itatiaia (RJ);117,41
MU;3302270;Japeri (RJ);1166,37
MU;3302304;Laje do Muriaé (RJ);29,95
MU;3302403;Macaé (RJ);169,89
MU;3302452;Macuco (RJ);67,8
MU;3302502;Magé (RJ);585,13
MU;3302601;Mangaratiba (RJ);103,25
MU;3302700;Maricá (RJ);351,55
MU;3302809;Mendes (RJ);184,83
MU;3302858;Mesquita (RJ);4310,48
MU;3302908;Miguel Pereira (RJ);85,21
MU;3303005;Miracema (RJ);88,15
MU;3303104;Natividade (RJ);39
MU;3303203;Nilópolis (RJ);8117,62
MU;3303302;Niterói (RJ);3640,8
MU;3303401;Nova Friburgo (RJ);195,07
MU;3303500;Nova Iguaçu (RJ);1527,6
MU;3303609;Paracambi (RJ);262,27
MU;3303708;Paraíba do Sul (RJ);70,77
MU;3303807;Paraty (RJ);40,57
MU;3303856;Paty do Alferes (RJ);82,68
MU;3303906;Petrópolis (RJ);371,85
MU;3303955;Pinheiral (RJ);296,86
MU;3304003;Piraí (RJ);52,07
MU;3304102;Porciúncula (RJ);58,8
MU;3304110;Porto Real (RJ);326,95
MU;3304128;Quatis (RJ);44,72
MU;3304144;Queimados (RJ);1822,6
MU;3304151;Quissamã (RJ);28,4
MU;3304201;Resende (RJ);109,35
MU;3304300;Rio Bonito (RJ);121,7
MU;3304409;Rio Claro (RJ);20,73
MU;3304508;Rio das Flores (RJ);17,9
MU;3304524;Rio das Ostras (RJ);461,38
MU;3304557;Rio de Janeiro (RJ);5265,81
MU;3304607;Santa Maria Madalena (RJ);12,67
MU;3304706;Santo Antônio de Pádua (RJ);67,27
MU;3304755;São Francisco de Itabapoana (RJ);36,84
MU;3304805;São Fidélis (RJ);36,39
MU;3304904;São Gonçalo (RJ);4035,9
MU;3305000;São João da Barra (RJ);71,96
MU;3305109;São João de Meriti (RJ);13024,56
MU;3305133;São José de Ubá (RJ);27,98
MU;3305158;São José do Vale do Rio Preto (RJ);91,87
MU;3305208;São Pedro da Aldeia (RJ);264,05
MU;3305307;São Sebastião do Alto (RJ);22,36
MU;3305406;Sapucaia (RJ);32,38
MU;3305505;Saquarema (RJ);209,96
MU;3305554;Seropédica (RJ);275,53
MU;3305604;Silva Jardim (RJ);22,77
MU;3305703;Sumidouro (RJ);37,67
MU;3305752;Tanguá (RJ);211,21
MU;3305802;Teresópolis (RJ);212,49
MU;3305901;Trajano de Moraes (RJ);17,44
MU;3306008;Três Rios (RJ);237,42
MU;3306107;Valença (RJ);55,06
MU;3306156;Varre-Sai (RJ);49,85
MU;3306206;Vassouras (RJ);63,94
MU;3306305;Volta Redonda (RJ);1412,75
MU;3500105;Adamantina (SP);82,16
MU;3500204;Adolfo (SP);16,85
MU;3500303;Aguaí (SP);67,72
MU;3500402;Águas da Prata (SP);53,05
MU;3500501;Águas de Lindóia (SP);287,16
MU;3500550;Águas de Santa Bárbara (SP);13,73
MU;3500600;Águas de São Pedro (SP);504,1
MU;3500709;Agudos (SP);35,73
MU;3500758;Alambari (SP);30,66
MU;3500808;Alfredo Marcondes (SP);32,86
MU;3500907;Altair (SP);12,16
MU;3501004;Altinópolis (SP);16,78
MU;3501103;Alto Alegre (SP);12,86
MU;3501152;Alumínio (SP);200,92
MU;3501202;Álvares Florence (SP);10,74
MU;3501301;Álvares Machado (SP);67,69
MU;3501400;Álvaro de Carvalho (SP);30,36
MU;3501509;Alvinlândia (SP);35,38
MU;3501608;Americana (SP);1579,59
MU;3501707;Américo Brasiliense (SP);281,99
MU;3501806;Américo de Campos (SP);22,54
MU;3501905;Amparo (SP);147,75
MU;3502002;Analândia (SP);13,16
MU;3502101;Andradina (SP);57,39
MU;3502200;Angatuba (SP);21,61
MU;3502309;Anhembi (SP);7,68
MU;3502408;Anhumas (SP);11,67
MU;3502507;Aparecida (SP);289,12
MU;3502606;Aparecida d'Oeste (SP);24,86
MU;3502705;Apiaí (SP);25,85
MU;3502754;Araçariguama (SP);116,72
MU;3502804;Araçatuba (SP);155,54
MU;3502903;Araçoiaba da Serra (SP);106,87
MU;3503000;Aramina (SP);25,39
MU;3503109;Arandu (SP);21,42
MU;3503158;Arapeí (SP);15,9
MU;3503208;Araraquara (SP);207,8
MU;3503307;Araras (SP);184,3
MU;3503356;Arco-Íris (SP);7,27
MU;3503406;Arealva (SP);15,53
MU;3503505;Areias (SP);12,11
MU;3503604;Areiópolis (SP);123,34
MU;3503703;Ariranha (SP);64,19
MU;3503802;Artur Nogueira (SP);248,15
MU;3503901;Arujá (SP);777,35
MU;3503950;Aspásia (SP);26,09
MU;3504008;Assis (SP);206,7
MU;3504107;Atibaia (SP);264,61
MU;3504206;Auriflama (SP);32,72
MU;3504305;Avaí (SP);9,18
MU;3504404;Avanhandava (SP);33,4
MU;3504503;Avaré (SP);68,37
MU;3504602;Bady Bassitt (SP);134,54
MU;3504701;Balbinos (SP);40,4
MU;3504800;Bálsamo (SP);54,18
MU;3504909;Bananal (SP);16,59
MU;3505005;Barão de Antonina (SP);20,35
MU;3505104;Barbosa (SP);32,14
MU;3505203;Bariri (SP);71,14
MU;3505302;Barra Bonita (SP);235,12
MU;3505351;Barra do Chapéu (SP);12,93
MU;3505401;Barra do Turvo (SP);7,67
MU;3505500;Barretos (SP);71,6
MU;3505609;Barrinha (SP);195,66
MU;3505708;Barueri (SP);3639,94
MU;3505807;Bastos (SP);118,95
MU;3505906;Batatais (SP);66,48
MU;3506003;Bauru (SP);515,12
MU;3506102;Bebedouro (SP);109,81
MU;3506201;Bento de Abreu (SP);8,87
MU;3506300;Bernardino de Campos (SP);44,12
MU;3506359;Bertioga (SP);97,23
MU;3506409;Bilac (SP);44,63
MU;3506508;Birigui (SP);204,79
MU;3506607;Biritiba Mirim (SP);90,1
MU;3506706;Boa Esperança do Sul (SP);19,75
MU;3506805;Bocaina (SP);29,84
MU;3506904;Bofete (SP);14,72
MU;3507001;Boituva (SP);194,07
MU;3507100;Bom Jesus dos Perdões (SP);183,08
MU;3507159;Bom Sucesso de Itararé (SP);26,73
MU;3507209;Borá (SP);6,8
MU;3507308;Boracéia (SP);34,95
MU;3507407;Borborema (SP);26,31
MU;3507456;Borebi (SP);6,59
MU;3507506;Botucatu (SP);85,88
MU;3507605;Bragança Paulista (SP);286,26
MU;3507704;Braúna (SP);25,7
MU;3507753;Brejo Alegre (SP);24,41
MU;3507803;Brodowski (SP);75,51
MU;3507902;Brotas (SP);19,59
MU;3508009;Buri (SP);15,52
MU;3508108;Buritama (SP);47,19
MU;3508207;Buritizal (SP);15,21
MU;3508306;Cabrália Paulista (SP);18,19
MU;3508405;Cabreúva (SP);159,91
MU;3508504;Caçapava (SP);228,91
MU;3508603;Cachoeira Paulista (SP);104,49
MU;3508702;Caconde (SP);39,44
MU;3508801;Cafelândia (SP);18,05
MU;3508900;Caiabu (SP);16,11
MU;3509007;Caieiras (SP);894,84
MU;3509106;Caiuá (SP);9,13
MU;3509205;Cajamar (SP);487,92
MU;3509254;Cajati (SP);62,43
MU;3509304;Cajobi (SP);55,22
MU;3509403;Cajuru (SP);35,41
MU;3509452;Campina do Monte Alegre (SP);30,09
MU;3509502;Campinas (SP);1358,63
MU;3509601;Campo Limpo Paulista (SP);930,79
MU;3509700;Campos do Jordão (SP);164,49
MU;3509809;Campos Novos Paulista (SP);9,38
MU;3509908;Cananéia (SP);9,84
MU;3509957;Canas (SP);82,33
MU;3510005;Cândido Mota (SP);50,12
MU;3510104;Cândido Rodrigues (SP);37,94
MU;3510153;Canitar (SP);76,34
MU;3510203;Capão Bonito (SP);28,15
MU;3510302;Capela do Alto (SP);103,2
MU;3510401;Capivari (SP);150,53
MU;3510500;Caraguatatuba (SP);207,76
MU;3510609;Carapicuíba (SP);10680,08
MU;3510708;Cardoso (SP);18,45
MU;3510807;Casa Branca (SP);32,76
MU;3510906;Cássia dos Coqueiros (SP);13,74
MU;3511003;Castilho (SP);16,89
MU;3511102;Catanduva (SP);388,24
MU;3511201;Catiguá (SP);48,03
MU;3511300;Cedral (SP);40,38
MU;3511409;Cerqueira César (SP);34,48
MU;3511508;Cerquilho (SP);309,98
MU;3511607;Cesário Lange (SP);81,46
MU;3511706;Charqueada (SP);85,79
MU;3511904;Clementina (SP);41,85
MU;3512001;Colina (SP);41,11
MU;3512100;Colômbia (SP);8,22
MU;3512209;Conchal (SP);138,02
MU;3512308;Conchas (SP);34,95
MU;3512407;Cordeirópolis (SP);153,22
MU;3512506;Coroados (SP);21,26
MU;3512605;Coronel Macedo (SP);16,45
MU;3512704;Corumbataí (SP);13,9
MU;3512803;Cosmópolis (SP);380,37
MU;3512902;Cosmorama (SP);16,25
MU;3513009;Cotia (SP);622,55
MU;3513108;Cravinhos (SP);101,84
MU;3513207;Cristais Paulista (SP);19,7
MU;3513306;Cruzália (SP);15,26
MU;3513405;Cruzeiro (SP);252,01
MU;3513504;Cubatão (SP);833,81
MU;3513603;Cunha (SP);15,54
MU;3513702;Descalvado (SP);41,2
MU;3513801;Diadema (SP);12519,1
MU;3513850;Dirce Reis (SP);19,12
MU;3513900;Divinolândia (SP);50,46
MU;3514007;Dobrada (SP);53,02
MU;3514106;Dois Córregos (SP);39,12
