IBGE;TSE;MUNICIPIO;UF;PIP
1504422;4642;MARITUBA;PA;9960
1504455;5770;MEDICILÂNDIA;PA;1354
1504505;4898;MELGAÇO;PA;1
1504604;4910;MOCAJUBA;PA;1161
1504703;4936;MOJU;PA;3619
1504752;4863;MOJUÍ DOS CAMPOS;PA;1290
1504802;4952;MONTE ALEGRE;PA;5004
1504901;4979;MUANÁ;PA;693
1504950;4480;NOVA ESPERANÇA DO PIRIÁ;PA;1127
1504976;4600;NOVA IPIXUNA;PA;1013
1505007;4995;NOVA TIMBOTEUA;PA;1310
1505031;4383;NOVO PROGRESSO;PA;2201
1505064;4421;NOVO REPARTIMENTO;PA;4508
1505106;5010;ÓBIDOS;PA;2372
1505205;5037;OEIRAS DO PARÁ;PA;762
1505304;5053;ORIXIMINÁ;PA;3164
1505403;5070;OURÉM;PA;1861
1505437;5959;OURILÂNDIA DO NORTE;PA;3611
1505486;5916;PACAJÁ;PA;1427
1505494;4162;PALESTINA DO PARÁ;PA;763
1505502;5096;PARAGOMINAS;PA;11201
1505536;5835;PARAUAPEBAS;PA;25882
1505551;4308;PAU D'ARCO;PA;630
1505601;5118;PEIXE-BOI;PA;1004
1505635;4782;PIÇARRA;PA;1122
1505650;4626;PLACAS;PA;816
1505700;5134;PONTA DE PEDRAS;PA;1013
1505809;5150;PORTEL;PA;1520
1505908;5177;PORTO DE MOZ;PA;891
1506005;5193;PRAINHA;PA;643
1506104;5215;PRIMAVERA;PA;1209
1506112;4685;QUATIPURU;PA;1093
1506138;5673;REDENÇÃO;PA;12270
1506161;5690;RIO MARIA;PA;2198
1506187;5738;RONDON DO PARÁ;PA;3471
1506195;5894;RURÓPOLIS;PA;1928
1506203;5231;SALINÓPOLIS;PA;7637
1506302;5258;SALVATERRA;PA;2699
1506351;4243;SANTA BÁRBARA DO PARÁ;PA;2363
1506401;5274;SANTA CRUZ DO ARARI;PA;326
1506500;5290;SANTA ISABEL DO PARÁ;PA;5581
1506559;4146;SANTA LUZIA DO PARÁ;PA;1880
1506583;5991;SANTA MARIA DAS BARREIRAS;PA;1230
1506609;5312;SANTA MARIA DO PARÁ;PA;2584
